,datetime,user,action,pc
0,2018-01-01 00:10:58,usr-daf,login,pc62
1,2018-01-01 00:18:42,usr-eqs,login,pc48
2,2018-01-01 00:24:54,usr-vdy,login,pc31
3,2018-01-01 02:47:12,usr-gyv,login,pc73
4,2018-01-01 02:51:52,usr-lmw,login,pc79
5,2018-01-01 03:26:20,usr-nqf,login,pc8
6,2018-01-01 03:28:07,usr-num,login,pc4
7,2018-01-01 03:34:51,usr-twe,login,pc45
8,2018-01-01 03:45:50,usr-dga,login,pc63
9,2018-01-01 03:58:18,usr-znp,login,pc88
10,2018-01-01 04:07:09,usr-ihg,login,pc32
11,2018-01-01 04:07:17,usr-kxa,login,pc28
12,2018-01-01 04:10:46,usr-pjl,login,pc85
13,2018-01-01 04:16:37,usr-biy,login,pc44
14,2018-01-01 04:18:30,usr-gpq,login,pc26
15,2018-01-01 04:27:53,usr-dao,login,pc47
16,2018-01-01 04:30:40,usr-ols,login,pc19
17,2018-01-01 04:36:36,usr-ylm,login,pc80
18,2018-01-01 04:37:44,usr-lok,login,pc7
19,2018-01-01 04:43:03,usr-mwx,login,pc15
20,2018-01-01 04:45:20,usr-rez,login,pc93
21,2018-01-01 04:45:32,usr-bcc,login,pc0
22,2018-01-01 04:47:53,usr-vtc,login,pc27
23,2018-01-01 04:54:41,usr-jde,login,pc98
24,2018-01-01 05:29:04,usr-tsn,login,pc25
25,2018-01-01 05:31:41,usr-lof,login,pc14
26,2018-01-01 05:32:08,usr-jwl,login,pc71
27,2018-01-01 05:43:04,usr-ynd,login,pc99
28,2018-01-01 05:44:41,usr-zob,login,pc74
29,2018-01-01 05:48:37,usr-pog,login,pc75
30,2018-01-01 05:49:25,usr-uhq,login,pc54
31,2018-01-01 05:56:15,usr-mgv,login,pc65
32,2018-01-01 05:59:13,usr-htz,login,pc57
33,2018-01-01 05:59:42,usr-czc,login,pc94
34,2018-01-01 06:03:08,usr-qlr,login,pc5
35,2018-01-01 06:14:29,usr-kum,login,pc82
36,2018-01-01 06:14:42,usr-pyb,login,pc84
37,2018-01-01 06:18:15,usr-qib,login,pc6
38,2018-01-01 06:20:10,usr-tiy,login,pc22
39,2018-01-01 06:27:07,usr-lvo,login,pc18
40,2018-01-01 06:31:44,usr-ozn,login,pc12
41,2018-01-01 06:33:20,usr-sdc,login,pc92
42,2018-01-01 06:36:34,usr-qpx,login,pc87
43,2018-01-01 06:39:15,usr-cab,login,pc36
44,2018-01-01 06:39:41,usr-pqq,login,pc17
45,2018-01-01 06:50:24,usr-tux,login,pc41
46,2018-01-01 06:56:40,usr-tir,login,pc90
47,2018-01-01 07:01:07,usr-bnw,login,pc33
48,2018-01-01 07:28:33,usr-hkw,login,pc21
49,2018-01-01 08:00:56,usr-bmn,login,pc60
50,2018-01-01 08:03:11,usr-feq,login,pc10
51,2018-01-01 08:04:46,usr-pqk,login,pc49
52,2018-01-01 08:06:26,usr-qxc,login,pc61
53,2018-01-01 08:26:13,usr-gxz,login,pc66
54,2018-01-01 08:42:16,usr-qhp,login,pc16
55,2018-01-01 08:56:02,usr-qvr,login,pc11
56,2018-01-01 09:01:34,usr-ory,login,pc43
57,2018-01-01 09:04:26,usr-fxz,login,pc1
58,2018-01-01 09:05:16,usr-nua,login,pc51
59,2018-01-01 09:05:32,usr-ubi,login,pc30
60,2018-01-01 09:07:06,usr-bll,login,pc34
61,2018-01-01 09:11:08,usr-ezl,login,pc86
62,2018-01-01 09:11:47,usr-vko,login,pc97
63,2018-01-01 09:11:56,usr-oci,login,pc56
64,2018-01-01 09:12:14,usr-wli,login,pc58
65,2018-01-01 09:13:35,usr-hha,login,pc9
66,2018-01-01 09:13:37,usr-wda,login,pc83
67,2018-01-01 09:15:29,usr-idd,login,pc81
68,2018-01-01 09:16:31,usr-bsv,login,pc3
69,2018-01-01 09:20:39,usr-evb,login,pc52
70,2018-01-01 09:20:54,usr-qas,login,pc67
71,2018-01-01 09:22:32,usr-vac,login,pc35
72,2018-01-01 09:22:47,usr-iqy,login,pc59
73,2018-01-01 09:25:37,usr-wbh,login,pc55
74,2018-01-01 09:25:46,usr-hcv,login,pc46
75,2018-01-01 09:26:47,usr-heb,login,pc40
76,2018-01-01 09:26:59,usr-jjz,login,pc23
77,2018-01-01 09:28:06,usr-vnd,login,pc72
78,2018-01-01 09:28:15,usr-ams,login,pc39
79,2018-01-01 09:28:54,usr-eff,login,pc53
80,2018-01-01 09:30:22,usr-jmh,login,pc89
81,2018-01-01 09:34:52,usr-vzu,login,pc95
82,2018-01-01 09:35:41,usr-ylz,login,pc13
83,2018-01-01 09:38:01,usr-ypg,login,pc78
84,2018-01-01 09:42:10,usr-tca,login,pc76
85,2018-01-01 09:44:29,usr-ljx,login,pc77
86,2018-01-01 09:46:01,usr-vwc,login,pc91
87,2018-01-01 09:47:21,usr-ali,login,pc37
88,2018-01-01 09:50:29,usr-nqs,login,pc68
89,2018-01-01 09:51:48,usr-aqd,login,pc70
90,2018-01-01 09:53:04,usr-jkp,login,pc42
91,2018-01-01 09:54:32,usr-jmh,login,pc96
92,2018-01-01 09:57:14,usr-kii,login,pc50
93,2018-01-01 09:58:06,usr-gxd,login,pc29
94,2018-01-01 09:59:26,usr-jit,login,pc2
95,2018-01-01 10:09:08,usr-dvz,login,pc69
96,2018-01-01 10:12:12,usr-fxf,login,pc38
97,2018-01-01 10:52:40,usr-rxo,login,pc20
98,2018-01-01 11:22:29,usr-ooj,login,pc64
99,2018-01-01 11:31:20,usr-qrq,login,pc24
100,2018-01-01 14:10:58,usr-qhp,logoff,pc16
101,2018-01-01 14:13:27,usr-bll,logoff,pc34
102,2018-01-01 14:45:05,usr-pqq,logoff,pc17
103,2018-01-01 14:47:26,usr-qxc,logoff,pc61
104,2018-01-01 14:49:11,usr-wbh,logoff,pc55
105,2018-01-01 15:00:44,usr-hha,logoff,pc9
106,2018-01-01 15:06:04,usr-czc,logoff,pc94
107,2018-01-01 15:16:13,usr-ihg,logoff,pc32
108,2018-01-01 15:16:55,usr-bmn,logoff,pc60
109,2018-01-01 15:18:36,usr-bsv,logoff,pc3
110,2018-01-01 15:19:27,usr-lok,logoff,pc7
111,2018-01-01 15:21:11,usr-pqk,logoff,pc49
112,2018-01-01 15:24:21,usr-jmh,logoff,pc89
113,2018-01-01 15:27:11,usr-ezl,logoff,pc86
114,2018-01-01 15:31:19,usr-ylm,logoff,pc80
115,2018-01-01 15:31:33,usr-mgv,logoff,pc65
116,2018-01-01 15:40:29,usr-qpx,logoff,pc87
117,2018-01-01 15:41:41,usr-evb,logoff,pc52
118,2018-01-01 15:43:10,usr-nqs,logoff,pc68
119,2018-01-01 15:46:05,usr-jit,logoff,pc2
120,2018-01-01 15:50:12,usr-qvr,logoff,pc11
121,2018-01-01 15:53:18,usr-qib,logoff,pc6
122,2018-01-01 15:55:17,usr-tca,logoff,pc76
123,2018-01-01 15:59:55,usr-vko,logoff,pc97
124,2018-01-01 16:03:43,usr-tiy,logoff,pc22
125,2018-01-01 16:08:01,usr-lvo,logoff,pc18
126,2018-01-01 16:09:38,usr-uhq,logoff,pc54
127,2018-01-01 16:13:19,usr-kum,logoff,pc82
128,2018-01-01 16:18:17,usr-lof,logoff,pc14
129,2018-01-01 16:28:04,usr-pog,logoff,pc75
130,2018-01-01 16:30:40,usr-qlr,logoff,pc5
131,2018-01-01 16:39:47,usr-kxa,logoff,pc28
132,2018-01-01 16:39:59,usr-pjl,logoff,pc85
133,2018-01-01 17:00:15,usr-vac,logoff,pc35
134,2018-01-01 17:02:51,usr-ali,logoff,pc37
135,2018-01-01 17:03:23,usr-hcv,logoff,pc46
136,2018-01-01 17:04:56,usr-eff,logoff,pc53
137,2018-01-01 17:05:05,usr-ljx,logoff,pc77
138,2018-01-01 17:08:49,usr-ubi,logoff,pc30
139,2018-01-01 17:11:37,usr-fxz,logoff,pc1
140,2018-01-01 17:18:02,usr-ory,logoff,pc43
141,2018-01-01 17:20:00,usr-idd,logoff,pc81
142,2018-01-01 17:21:48,usr-gxd,logoff,pc29
143,2018-01-01 17:24:14,usr-oci,logoff,pc56
144,2018-01-01 17:26:05,usr-jjz,logoff,pc23
145,2018-01-01 17:28:45,usr-aqd,logoff,pc70
146,2018-01-01 17:29:58,usr-wda,logoff,pc83
147,2018-01-01 17:30:08,usr-nua,logoff,pc51
148,2018-01-01 17:31:17,usr-jmh,logoff,pc96
149,2018-01-01 17:36:36,usr-wli,logoff,pc58
150,2018-01-01 17:38:48,usr-ylz,logoff,pc13
151,2018-01-01 17:38:57,usr-heb,logoff,pc40
152,2018-01-01 17:43:26,usr-ams,logoff,pc39
153,2018-01-01 17:44:11,usr-jkp,logoff,pc42
154,2018-01-01 17:45:31,usr-vzu,logoff,pc95
155,2018-01-01 17:51:07,usr-vnd,logoff,pc72
156,2018-01-01 17:51:46,usr-ols,logoff,pc19
157,2018-01-01 17:51:46,usr-kii,logoff,pc50
158,2018-01-01 17:52:36,usr-qas,logoff,pc67
159,2018-01-01 17:54:34,usr-iqy,logoff,pc59
160,2018-01-01 17:58:26,usr-vwc,logoff,pc91
161,2018-01-01 17:58:51,usr-ypg,logoff,pc78
162,2018-01-01 18:01:53,usr-tux,logoff,pc41
163,2018-01-01 19:01:44,usr-mwx,logoff,pc15
164,2018-01-01 19:13:19,usr-lmw,logoff,pc79
165,2018-01-01 19:17:51,usr-tir,logoff,pc90
166,2018-01-01 19:31:40,usr-eqs,logoff,pc48
167,2018-01-01 19:35:36,usr-sdc,logoff,pc92
168,2018-01-01 19:38:53,usr-ozn,logoff,pc12
169,2018-01-01 19:40:06,usr-pyb,logoff,pc84
170,2018-01-01 19:43:21,usr-cab,logoff,pc36
171,2018-01-01 19:58:16,usr-bnw,logoff,pc33
172,2018-01-01 20:10:57,usr-bcc,logoff,pc0
173,2018-01-01 20:15:44,usr-nqf,logoff,pc8
174,2018-01-01 20:27:30,usr-jwl,logoff,pc71
175,2018-01-01 20:30:21,usr-ynd,logoff,pc99
176,2018-01-01 20:40:30,usr-qrq,logoff,pc24
177,2018-01-01 20:47:21,usr-daf,logoff,pc62
178,2018-01-01 20:51:34,usr-vdy,logoff,pc31
179,2018-01-01 20:52:06,usr-vtc,logoff,pc27
180,2018-01-01 20:52:43,usr-gxz,logoff,pc66
181,2018-01-01 20:55:58,usr-htz,logoff,pc57
182,2018-01-01 20:59:40,usr-jde,logoff,pc98
183,2018-01-01 21:01:44,usr-num,logoff,pc4
184,2018-01-01 21:30:45,usr-zob,logoff,pc74
185,2018-01-01 21:33:31,usr-dao,logoff,pc47
186,2018-01-01 21:34:32,usr-ooj,logoff,pc64
187,2018-01-01 21:48:52,usr-znp,logoff,pc88
188,2018-01-01 22:10:37,usr-dga,logoff,pc63
189,2018-01-01 22:12:29,usr-biy,logoff,pc44
190,2018-01-01 22:30:17,usr-gpq,logoff,pc26
191,2018-01-01 22:50:37,usr-tsn,logoff,pc25
192,2018-01-01 23:14:41,usr-feq,logoff,pc10
193,2018-01-01 23:15:41,usr-gyv,logoff,pc73
194,2018-01-01 23:21:03,usr-rxo,logoff,pc20
195,2018-01-01 23:26:16,usr-hkw,logoff,pc21
196,2018-01-01 23:27:02,usr-twe,logoff,pc45
197,2018-01-01 23:27:10,usr-rez,logoff,pc93
198,2018-01-01 23:38:27,usr-dvz,logoff,pc69
199,2018-01-01 23:48:21,usr-fxf,logoff,pc38
