,datetime,user,action,pc
0,2018-01-01 04:30:19.731328,usr-biy,usb_insert,pc44
1,2018-01-01 05:02:28.315951,usr-biy,usb_remove,pc44
2,2018-01-01 05:11:05.278974,usr-lok,usb_insert,pc7
3,2018-01-01 05:38:11.578900,usr-rez,usb_insert,pc93
4,2018-01-01 05:45:28.970372,usr-ynd,usb_insert,pc99
5,2018-01-01 05:46:34.488862,usr-lok,usb_remove,pc7
6,2018-01-01 05:55:03.322983,usr-rez,usb_remove,pc93
7,2018-01-01 05:56:06.618983,usr-biy,usb_insert,pc44
8,2018-01-01 06:07:51.649067,usr-tsn,usb_insert,pc25
9,2018-01-01 06:08:02.810178,usr-rez,usb_insert,pc93
10,2018-01-01 06:17:38.183084,usr-tsn,usb_remove,pc25
11,2018-01-01 06:23:57.785584,usr-kum,usb_insert,pc82
12,2018-01-01 06:24:01.111432,usr-ynd,usb_insert,pc99
13,2018-01-01 06:25:57.777831,usr-pog,usb_insert,pc75
14,2018-01-01 06:37:08.834034,usr-rez,usb_remove,pc93
15,2018-01-01 06:41:49.595049,usr-ihg,usb_insert,pc32
16,2018-01-01 06:41:51.095504,usr-ynd,usb_remove,pc99
17,2018-01-01 06:42:17.954131,usr-gpq,usb_insert,pc26
18,2018-01-01 06:42:37.985095,usr-biy,usb_remove,pc44
19,2018-01-01 06:48:09.814020,usr-kum,usb_insert,pc82
20,2018-01-01 06:50:12.299933,usr-pog,usb_remove,pc75
21,2018-01-01 06:55:50.902905,usr-kum,usb_remove,pc82
22,2018-01-01 06:57:30.902795,usr-sdc,usb_insert,pc92
23,2018-01-01 07:00:01.122595,usr-kum,usb_remove,pc82
24,2018-01-01 07:01:52.024725,usr-gpq,usb_insert,pc26
25,2018-01-01 07:14:37.470405,usr-ynd,usb_remove,pc99
26,2018-01-01 07:18:11.410958,usr-ynd,usb_insert,pc99
27,2018-01-01 07:18:54.747394,usr-qpx,usb_insert,pc87
28,2018-01-01 07:19:28.880552,usr-ynd,usb_remove,pc99
29,2018-01-01 07:19:59.626965,usr-qpx,usb_remove,pc87
30,2018-01-01 07:20:08.228327,usr-zob,usb_insert,pc74
31,2018-01-01 07:23:56.013270,usr-zob,usb_insert,pc74
32,2018-01-01 07:28:51.710731,usr-pog,usb_insert,pc75
33,2018-01-01 07:30:51.517574,usr-zob,usb_remove,pc74
34,2018-01-01 07:33:02.691985,usr-kxa,usb_insert,pc28
35,2018-01-01 07:35:42.387324,usr-ihg,usb_remove,pc32
36,2018-01-01 07:37:25.159937,usr-gpq,usb_remove,pc26
37,2018-01-01 07:45:48.365161,usr-ynd,usb_insert,pc99
38,2018-01-01 07:48:41.487496,usr-kxa,usb_remove,pc28
39,2018-01-01 07:51:26.406794,usr-sdc,usb_remove,pc92
40,2018-01-01 07:51:33.984171,usr-pog,usb_remove,pc75
41,2018-01-01 07:51:54.630040,usr-biy,usb_insert,pc44
42,2018-01-01 07:53:47.312232,usr-gpq,usb_insert,pc26
43,2018-01-01 07:53:48.444292,usr-zob,usb_remove,pc74
44,2018-01-01 07:54:47.331465,usr-ynd,usb_remove,pc99
45,2018-01-01 07:56:51.676305,usr-zob,usb_insert,pc74
46,2018-01-01 07:59:23.114472,usr-gpq,usb_remove,pc26
47,2018-01-01 07:59:41.512935,usr-gpq,usb_remove,pc26
48,2018-01-01 08:00:49.100261,usr-qpx,usb_insert,pc87
49,2018-01-01 08:04:58.622335,usr-uhq,usb_insert,pc54
50,2018-01-01 08:10:34.474031,usr-czc,usb_insert,pc94
51,2018-01-01 08:21:29.616970,usr-czc,usb_remove,pc94
52,2018-01-01 08:22:21.411492,usr-zob,usb_remove,pc74
53,2018-01-01 08:22:53.425316,usr-biy,usb_remove,pc44
54,2018-01-01 08:23:52.600440,usr-kxa,usb_insert,pc28
55,2018-01-01 08:24:08.212232,usr-lok,usb_insert,pc7
56,2018-01-01 08:28:06.766725,usr-qxc,usb_insert,pc61
57,2018-01-01 08:30:22.632445,usr-qxc,usb_remove,pc61
58,2018-01-01 08:33:36.701310,usr-bmn,usb_insert,pc60
59,2018-01-01 08:42:33.387160,usr-kxa,usb_remove,pc28
60,2018-01-01 08:44:13.719470,usr-lvo,usb_insert,pc18
61,2018-01-01 08:47:29.679608,usr-uhq,usb_insert,pc54
62,2018-01-01 08:50:55.061415,usr-lvo,usb_remove,pc18
63,2018-01-01 08:51:19.486041,usr-bmn,usb_insert,pc60
64,2018-01-01 08:52:33.269245,usr-uhq,usb_remove,pc54
65,2018-01-01 08:52:37.681734,usr-qlr,usb_insert,pc5
66,2018-01-01 08:54:06.481115,usr-qpx,usb_remove,pc87
67,2018-01-01 08:55:07.839858,usr-qib,usb_insert,pc6
68,2018-01-01 08:56:50.938760,usr-qib,usb_remove,pc6
69,2018-01-01 09:00:52.248490,usr-mgv,usb_insert,pc65
70,2018-01-01 09:05:11.572534,usr-bmn,usb_remove,pc60
71,2018-01-01 09:07:17.717799,usr-qlr,usb_insert,pc5
72,2018-01-01 09:08:15.220311,usr-mgv,usb_remove,pc65
73,2018-01-01 09:08:51.272341,usr-bll,usb_insert,pc34
74,2018-01-01 09:11:41.963438,usr-ezl,usb_insert,pc86
75,2018-01-01 09:13:11.819986,usr-lok,usb_remove,pc7
76,2018-01-01 09:19:54.461287,usr-bmn,usb_insert,pc60
77,2018-01-01 09:27:22.971315,usr-bll,usb_remove,pc34
78,2018-01-01 09:28:05.376738,usr-bsv,usb_insert,pc3
79,2018-01-01 09:32:02.959706,usr-wbh,usb_insert,pc55
80,2018-01-01 09:34:35.535491,usr-kxa,usb_insert,pc28
81,2018-01-01 09:37:46.148864,usr-qhp,usb_insert,pc16
82,2018-01-01 09:39:06.982023,usr-hha,usb_insert,pc9
83,2018-01-01 09:39:36.318300,usr-uhq,usb_remove,pc54
84,2018-01-01 09:39:37.048610,usr-ylm,usb_insert,pc80
85,2018-01-01 09:40:17.632803,usr-bmn,usb_remove,pc60
86,2018-01-01 09:40:27.280802,usr-qas,usb_insert,pc67
87,2018-01-01 09:40:58.209665,usr-bll,usb_insert,pc34
88,2018-01-01 09:41:50.622402,usr-kxa,usb_remove,pc28
89,2018-01-01 09:42:43.324287,usr-qlr,usb_insert,pc5
90,2018-01-01 09:43:14.042100,usr-qvr,usb_insert,pc11
91,2018-01-01 09:43:14.769146,usr-sdc,usb_insert,pc92
92,2018-01-01 09:43:26.287876,usr-nua,usb_insert,pc51
93,2018-01-01 09:44:51.604276,usr-qlr,usb_remove,pc5
94,2018-01-01 09:45:06.395511,usr-qxc,usb_insert,pc61
95,2018-01-01 09:46:13.496040,usr-ihg,usb_insert,pc32
96,2018-01-01 09:47:03.277771,usr-qlr,usb_remove,pc5
97,2018-01-01 09:48:10.576124,usr-qvr,usb_remove,pc11
98,2018-01-01 09:49:06.430563,usr-mgv,usb_insert,pc65
99,2018-01-01 09:52:24.332849,usr-biy,usb_insert,pc44
100,2018-01-01 09:52:34.367444,usr-bmn,usb_remove,pc60
101,2018-01-01 09:55:36.590327,usr-ezl,usb_insert,pc86
102,2018-01-01 09:56:38.771344,usr-bll,usb_remove,pc34
103,2018-01-01 10:00:23.713483,usr-fxz,usb_insert,pc1
104,2018-01-01 10:00:30.769893,usr-hha,usb_remove,pc9
105,2018-01-01 10:01:21.052360,usr-ylm,usb_remove,pc80
106,2018-01-01 10:02:43.098595,usr-qas,usb_remove,pc67
107,2018-01-01 10:04:12.694440,usr-biy,usb_remove,pc44
108,2018-01-01 10:07:00.111378,usr-ezl,usb_remove,pc86
109,2018-01-01 10:07:11.860839,usr-wbh,usb_insert,pc55
110,2018-01-01 10:07:29.479982,usr-biy,usb_insert,pc44
111,2018-01-01 10:09:27.135709,usr-qvr,usb_insert,pc11
112,2018-01-01 10:11:17.865672,usr-wbh,usb_remove,pc55
113,2018-01-01 10:14:46.106330,usr-bsv,usb_remove,pc3
114,2018-01-01 10:16:42.787213,usr-ihg,usb_remove,pc32
115,2018-01-01 10:16:57.427712,usr-tir,usb_insert,pc90
116,2018-01-01 10:18:22.785507,usr-pog,usb_insert,pc75
117,2018-01-01 10:19:32.943840,usr-tir,usb_remove,pc90
