"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.20.0.165","209.85.143.19","TCP","62","1698  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM"
"2","0.017691","209.85.143.19","10.20.0.165","TCP","62","443  >  1698 [SYN, ACK] Seq=0 Ack=1 Win=5720 Len=0 MSS=1430 SACK_PERM"
"3","0.017729","10.20.0.165","209.85.143.19","TCP","54","1698  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"4","0.018382","10.20.0.165","209.85.143.19","SSLv3","156","Client Hello"
"5","0.032859","209.85.143.19","10.20.0.165","TCP","60","443  >  1698 [ACK] Seq=1 Ack=103 Win=5720 Len=0"
"6","0.033923","209.85.143.19","10.20.0.165","SSLv3","204","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"7","0.034730","10.20.0.165","209.85.143.19","SSLv3","125","Change Cipher Spec, Encrypted Handshake Message"
"8","0.035538","10.20.0.165","209.85.143.19","SSLv3","1139","Application Data"
"9","0.054171","209.85.143.19","10.20.0.165","TCP","60","443  >  1698 [ACK] Seq=151 Ack=1259 Win=7595 Len=0"
"10","0.372741","fe80::dd51:53a9:d92:f6ac","ff02::1:2","DHCPv6","171","Solicit XID: 0x9e55b9 CID: 0001000115e46c93eacbd946ff3f "
"11","0.611807","209.85.143.19","10.20.0.165","SSLv3","1404","Application Data, Application Data"
"12","0.612164","209.85.143.19","10.20.0.165","SSLv3","1404","Application Data"
"13","0.612218","10.20.0.165","209.85.143.19","TCP","54","1698  >  443 [ACK] Seq=1259 Ack=2851 Win=65535 Len=0"
"14","0.612245","209.85.143.19","10.20.0.165","SSLv3","1378","Application Data"
"15","0.612289","209.85.143.19","10.20.0.165","SSLv3","624","Application Data"
"16","0.612336","10.20.0.165","209.85.143.19","TCP","54","1698  >  443 [ACK] Seq=1259 Ack=4745 Win=65535 Len=0"
"17","0.710651","209.85.143.19","10.20.0.165","SSLv3","1404","Application Data"
"18","0.710704","209.85.143.19","10.20.0.165","SSLv3","462","Application Data"
"19","0.710752","10.20.0.165","209.85.143.19","TCP","54","1698  >  443 [ACK] Seq=1259 Ack=6503 Win=65535 Len=0"
"20","0.717679","10.20.0.165","209.85.143.19","SSLv3","1081","Application Data"
"21","0.802943","209.85.143.19","10.20.0.165","TCP","60","443  >  1698 [ACK] Seq=6503 Ack=2286 Win=9765 Len=0"
"22","1.100730","209.85.143.19","10.20.0.165","SSLv3","1404","Application Data, Application Data"
"23","1.100786","209.85.143.19","10.20.0.165","SSLv3","254","Application Data"
"24","1.100837","10.20.0.165","209.85.143.19","TCP","54","1698  >  443 [ACK] Seq=2286 Ack=8053 Win=65535 Len=0"
"25","1.110660","10.20.0.165","209.85.143.19","SSLv3","1081","Application Data"
"26","1.224358","209.85.143.19","10.20.0.165","TCP","60","443  >  1698 [ACK] Seq=8053 Ack=3313 Win=11297 Len=0"
"27","1.595013","209.85.143.19","10.20.0.165","SSLv3","957","Application Data, Application Data"
"28","1.636544","10.20.0.165","209.85.143.19","SSLv3","1082","Application Data"
"29","1.653426","209.85.143.19","10.20.0.165","TCP","60","443  >  1698 [ACK] Seq=8956 Ack=4341 Win=13364 Len=0"
"30","1.994866","209.85.143.19","10.20.0.165","SSLv3","917","Application Data, Application Data"
"31","2.110006","10.20.0.165","209.85.143.19","TCP","54","1698  >  443 [ACK] Seq=4341 Ack=9819 Win=65535 Len=0"
"32","5.016918","Cisco-Li_cb:9e:93","be:08:f1:2f:fa:d4","ARP","60","Who has 10.20.0.165? Tell 10.20.0.254"
"33","5.016934","be:08:f1:2f:fa:d4","Cisco-Li_cb:9e:93","ARP","42","10.20.0.165 is at be:08:f1:2f:fa:d4"
"34","5.946732","10.20.0.165","209.85.143.19","SSLv3","1160","Application Data"
